RaceKey,Year,Round,RaceDate,GrandPrix,GrandPrixShort,GrandPrixAbbr,OfficialName,CircuitId,Circuit,CircuitFullName,CountryId,Country,CountryCode,Laps,DistanceKm,CourseLengthKm,Turns,CircuitType,Direction,HasSprint,IsRun,IsClassicCircuit,RaceLabel,RoundLabel,SortKey,TitleDecider
898,2014,1,2014-03-16,Australia,Australian GP,AUS,2014 Formula 1 Rolex Australian Grand Prix,melbourne,Melbourne,Melbourne Grand Prix Circuit,australia,Australia,AU,57,302.271,5.303,16,Street,Clockwise,0,1,1,2014 · Australian GP,R01,201401,0
899,2014,2,2014-03-30,Malaysia,Malaysian GP,MYS,2014 Formula 1 Petronas Malaysia Grand Prix,sepang,Sepang,Sepang International Circuit,malaysia,Malaysia,MY,56,310.408,5.543,15,Race,Clockwise,0,1,0,2014 · Malaysian GP,R02,201402,0
900,2014,3,2014-04-06,Bahrain,Bahrain GP,BHR,2014 Formula 1 Gulf Air Bahrain Grand Prix,bahrain,Bahrain,Bahrain International Circuit,bahrain,Bahrain,BH,57,308.238,5.412,15,Race,Clockwise,0,1,0,2014 · Bahrain GP,R03,201403,0
901,2014,4,2014-04-20,China,Chinese GP,CHN,2014 Formula 1 UBS Chinese Grand Prix,shanghai,Shanghai,Shanghai International Circuit,china,China,CN,54,294.164,5.451,16,Race,Clockwise,0,1,0,2014 · Chinese GP,R04,201404,0
902,2014,5,2014-05-11,Spain,Spanish GP,ESP,Formula 1 Gran Premio de España Pirelli 2014,catalunya,Catalunya,Circuit de Barcelona-Catalunya,spain,Spain,ES,66,307.104,4.655,16,Race,Clockwise,0,1,1,2014 · Spanish GP,R05,201405,0
903,2014,6,2014-05-25,Monaco,Monaco GP,MCO,Formula 1 Grand Prix de Monaco 2014,monaco,Monaco,Circuit de Monaco,monaco,Monaco,MC,78,260.52,3.34,19,Street,Clockwise,0,1,1,2014 · Monaco GP,R06,201406,0
904,2014,7,2014-06-08,Canada,Canadian GP,CAN,Formula 1 Grand Prix du Canada 2014,montreal,Gilles Villeneuve,Circuit Gilles Villeneuve,canada,Canada,CA,70,305.27,4.361,14,Street,Clockwise,0,1,1,2014 · Canadian GP,R07,201407,0
905,2014,8,2014-06-22,Austria,Austrian GP,AUT,Formula 1 DHL Grosser Preis Von Österreich 2014,spielberg,Red Bull Ring,Red Bull Ring,austria,Austria,AT,71,307.146,4.326,10,Race,Clockwise,0,1,0,2014 · Austrian GP,R08,201408,0
906,2014,9,2014-07-06,Great Britain,British GP,GBR,2014 Formula 1 Santander British Grand Prix,silverstone,Silverstone,Silverstone Circuit,united-kingdom,United Kingdom,GB,52,306.198,5.891,18,Race,Clockwise,0,1,1,2014 · British GP,R09,201409,0
907,2014,10,2014-07-20,Germany,German GP,DEU,Formula 1 Grosser Preis Santander von Deutschland 2014,hockenheimring,Hockenheimring,Hockenheimring,germany,Germany,DE,67,306.458,4.574,17,Race,Clockwise,0,1,0,2014 · German GP,R10,201410,0
