RaceKey,Year,Round,ConstructorId,StandingPoints,StandingPosition,ChampionshipWon,IsLatestRound
898,2014,1,mclaren,33.0,1,0,0
898,2014,1,mercedes,25.0,2,0,0
898,2014,1,ferrari,18.0,3,0,0
898,2014,1,williams,10.0,4,0,0
898,2014,1,force-india,9.0,5,0,0
898,2014,1,toro-rosso,6.0,6,0,0
898,2014,1,sauber,0,7,0,0
898,2014,1,marussia,0,8,0,0
899,2014,2,mercedes,68.0,1,0,0
899,2014,2,mclaren,43.0,2,0,0
899,2014,2,ferrari,30.0,3,0,0
899,2014,2,williams,20.0,4,0,0
899,2014,2,force-india,19.0,5,0,0
899,2014,2,red-bull,15.0,6,0,0
899,2014,2,toro-rosso,7.0,7,0,0
899,2014,2,sauber,0,8,0,0
899,2014,2,lotus-f1,0,9,0,0
899,2014,2,caterham,0,10,0,0
899,2014,2,marussia,0,11,0,0
900,2014,3,mercedes,111.0,1,0,0
900,2014,3,force-india,44.0,2,0,0
900,2014,3,mclaren,43.0,3,0,0
900,2014,3,red-bull,35.0,4,0,0
900,2014,3,ferrari,33.0,5,0,0
900,2014,3,williams,30.0,6,0,0
900,2014,3,toro-rosso,7.0,7,0,0
900,2014,3,lotus-f1,0,8,0,0
900,2014,3,sauber,0,9,0,0
900,2014,3,marussia,0,10,0,0
900,2014,3,caterham,0,11,0,0
901,2014,4,mercedes,154.0,1,0,0
901,2014,4,red-bull,57.0,2,0,0
901,2014,4,force-india,54.0,3,0,0
901,2014,4,ferrari,52.0,4,0,0
901,2014,4,mclaren,43.0,5,0,0
901,2014,4,williams,36.0,6,0,0
901,2014,4,toro-rosso,8.0,7,0,0
901,2014,4,lotus-f1,0,8,0,0
901,2014,4,sauber,0,9,0,0
901,2014,4,marussia,0,10,0,0
901,2014,4,caterham,0,11,0,0
902,2014,5,mercedes,197.0,1,0,0
902,2014,5,red-bull,84.0,2,0,0
902,2014,5,ferrari,66.0,3,0,0
902,2014,5,force-india,57.0,4,0,0
902,2014,5,williams,46.0,5,0,0
902,2014,5,mclaren,43.0,6,0,0
902,2014,5,toro-rosso,8.0,7,0,0
902,2014,5,lotus-f1,4.0,8,0,0
902,2014,5,sauber,0,9,0,0
902,2014,5,marussia,0,10,0,0
902,2014,5,caterham,0,11,0,0
903,2014,6,mercedes,240.0,1,0,0
903,2014,6,red-bull,99.0,2,0,0
903,2014,6,ferrari,78.0,3,0,0
903,2014,6,force-india,67.0,4,0,0
903,2014,6,mclaren,52.0,5,0,0
903,2014,6,williams,52.0,6,0,0
903,2014,6,lotus-f1,8.0,7,0,0
903,2014,6,toro-rosso,8.0,8,0,0
903,2014,6,marussia,2.0,9,0,0
903,2014,6,sauber,0,10,0,0
903,2014,6,caterham,0,11,0,0
904,2014,7,mercedes,258.0,1,0,0
904,2014,7,red-bull,139.0,2,0,0
904,2014,7,ferrari,87.0,3,0,0
904,2014,7,force-india,77.0,4,0,0
904,2014,7,mclaren,66.0,5,0,0
904,2014,7,williams,58.0,6,0,0
904,2014,7,toro-rosso,12.0,7,0,0
904,2014,7,lotus-f1,8.0,8,0,0
904,2014,7,marussia,2.0,9,0,0
904,2014,7,sauber,0,10,0,0
904,2014,7,caterham,0,11,0,0
905,2014,8,mercedes,301.0,1,0,0
905,2014,8,red-bull,143.0,2,0,0
905,2014,8,ferrari,98.0,3,0,0
905,2014,8,force-india,87.0,4,0,0
905,2014,8,williams,85.0,5,0,0
905,2014,8,mclaren,72.0,6,0,0
905,2014,8,toro-rosso,12.0,7,0,0
905,2014,8,lotus-f1,8.0,8,0,0
905,2014,8,marussia,2.0,9,0,0
905,2014,8,sauber,0,10,0,0
905,2014,8,caterham,0,11,0,0
906,2014,9,mercedes,326.0,1,0,0
906,2014,9,red-bull,168.0,2,0,0
906,2014,9,ferrari,106.0,3,0,0
906,2014,9,williams,103.0,4,0,0
906,2014,9,force-india,91.0,5,0,0
906,2014,9,mclaren,90.0,6,0,0
906,2014,9,toro-rosso,15.0,7,0,0
906,2014,9,lotus-f1,8.0,8,0,0
906,2014,9,marussia,2.0,9,0,0
906,2014,9,sauber,0,10,0,0
906,2014,9,caterham,0,11,0,0
907,2014,10,mercedes,366.0,1,0,0
907,2014,10,red-bull,188.0,2,0,0
907,2014,10,williams,121.0,3,0,0
907,2014,10,ferrari,116.0,4,0,0
907,2014,10,force-india,98.0,5,0,0
907,2014,10,mclaren,96.0,6,0,0
907,2014,10,toro-rosso,15.0,7,0,0
907,2014,10,lotus-f1,8.0,8,0,0
907,2014,10,marussia,2.0,9,0,0
907,2014,10,sauber,0,10,0,0
907,2014,10,caterham,0,11,0,0
908,2014,11,mercedes,393.0,1,0,0
908,2014,11,red-bull,219.0,2,0,0
908,2014,11,ferrari,142.0,3,0,0
908,2014,11,williams,135.0,4,0,0
908,2014,11,force-india,98.0,5,0,0
908,2014,11,mclaren,97.0,6,0,0
908,2014,11,toro-rosso,17.0,7,0,0
908,2014,11,lotus-f1,8.0,8,0,0
908,2014,11,marussia,2.0,9,0,0
908,2014,11,sauber,0,10,0,0
908,2014,11,caterham,0,11,0,0
909,2014,12,mercedes,411.0,1,0,0
909,2014,12,red-bull,254.0,2,0,0
909,2014,12,ferrari,160.0,3,0,0
909,2014,12,williams,150.0,4,0,0
909,2014,12,mclaren,105.0,5,0,0
909,2014,12,force-india,103.0,6,0,0
909,2014,12,toro-rosso,19.0,7,0,0
909,2014,12,lotus-f1,8.0,8,0,0
909,2014,12,marussia,2.0,9,0,0
909,2014,12,sauber,0,10,0,0
909,2014,12,caterham,0,11,0,0
910,2014,13,mercedes,454.0,1,0,0
910,2014,13,red-bull,272.0,2,0,0
910,2014,13,williams,177.0,3,0,0
910,2014,13,ferrari,162.0,4,0,0
910,2014,13,mclaren,110.0,5,0,0
910,2014,13,force-india,109.0,6,0,0
910,2014,13,toro-rosso,19.0,7,0,0
910,2014,13,lotus-f1,8.0,8,0,0
910,2014,13,marussia,2.0,9,0,0
910,2014,13,sauber,0,10,0,0
910,2014,13,caterham,0,11,0,0
911,2014,14,mercedes,479.0,1,0,0
911,2014,14,red-bull,305.0,2,0,0
911,2014,14,williams,187.0,3,0,0
911,2014,14,ferrari,178.0,4,0,0
911,2014,14,force-india,117.0,5,0,0
911,2014,14,mclaren,111.0,6,0,0
911,2014,14,toro-rosso,27.0,7,0,0
911,2014,14,lotus-f1,8.0,8,0,0
911,2014,14,marussia,2.0,9,0,0
911,2014,14,sauber,0,10,0,0
911,2014,14,caterham,0,11,0,0
912,2014,15,mercedes,522.0,1,0,0
912,2014,15,red-bull,332.0,2,0,0
912,2014,15,williams,201.0,3,0,0
912,2014,15,ferrari,178.0,4,0,0
912,2014,15,force-india,122.0,5,0,0
912,2014,15,mclaren,121.0,6,0,0
912,2014,15,toro-rosso,29.0,7,0,0
912,2014,15,lotus-f1,8.0,8,0,0
912,2014,15,marussia,2.0,9,0,0
912,2014,15,sauber,0,10,0,0
912,2014,15,caterham,0,11,0,0
913,2014,16,mercedes,565.0,1,1,0
913,2014,16,red-bull,342.0,2,0,0
913,2014,16,williams,216.0,3,0,0
913,2014,16,ferrari,188.0,4,0,0
913,2014,16,mclaren,143.0,5,0,0
913,2014,16,force-india,123.0,6,0,0
913,2014,16,toro-rosso,29.0,7,0,0
913,2014,16,lotus-f1,8.0,8,0,0
913,2014,16,marussia,2.0,9,0,0
913,2014,16,sauber,0,10,0,0
913,2014,16,caterham,0,11,0,0
914,2014,17,mercedes,608.0,1,1,0
914,2014,17,red-bull,363.0,2,0,0
914,2014,17,williams,238.0,3,0,0
914,2014,17,ferrari,196.0,4,0,0
914,2014,17,mclaren,147.0,5,0,0
914,2014,17,force-india,123.0,6,0,0
914,2014,17,toro-rosso,30.0,7,0,0
914,2014,17,lotus-f1,10.0,8,0,0
914,2014,17,marussia,2.0,9,0,0
914,2014,17,sauber,0,10,0,0
914,2014,17,caterham,0,11,0,0
915,2014,18,mercedes,651.0,1,1,0
915,2014,18,red-bull,373.0,2,0,0
915,2014,18,williams,254.0,3,0,0
915,2014,18,ferrari,210.0,4,0,0
915,2014,18,mclaren,161.0,5,0,0
915,2014,18,force-india,127.0,6,0,0
915,2014,18,toro-rosso,30.0,7,0,0
915,2014,18,lotus-f1,10.0,8,0,0
915,2014,18,marussia,2.0,9,0,0
915,2014,18,sauber,0,10,0,0
915,2014,18,caterham,0,11,0,0
916,2014,19,mercedes,701.0,1,1,1
916,2014,19,red-bull,405.0,2,0,1
916,2014,19,williams,320.0,3,0,1
916,2014,19,ferrari,216.0,4,0,1
916,2014,19,mclaren,181.0,5,0,1
916,2014,19,force-india,155.0,6,0,1
916,2014,19,toro-rosso,30.0,7,0,1
916,2014,19,lotus-f1,10.0,8,0,1
916,2014,19,marussia,2.0,9,0,1
916,2014,19,sauber,0,10,0,1
916,2014,19,caterham,0,11,0,1
917,2015,1,mercedes,43.0,1,0,0
917,2015,1,ferrari,15.0,2,0,0
917,2015,1,sauber,14.0,3,0,0
917,2015,1,williams,12.0,4,0,0
917,2015,1,red-bull,8.0,5,0,0
917,2015,1,force-india,7.0,6,0,0
