RaceKey,Year,Round,DriverId,StandingPoints,StandingPosition,ChampionshipWon,IsLatestRound
898,2014,1,nico-rosberg,25.0,1,0,0
898,2014,1,kevin-magnussen,18.0,2,0,0
898,2014,1,jenson-button,15.0,3,0,0
898,2014,1,fernando-alonso,12.0,4,0,0
898,2014,1,valtteri-bottas,10.0,5,0,0
898,2014,1,nico-hulkenberg,8.0,6,0,0
898,2014,1,kimi-raikkonen,6.0,7,0,0
898,2014,1,jean-eric-vergne,4.0,8,0,0
898,2014,1,daniil-kvyat,2.0,9,0,0
898,2014,1,sergio-perez,1.0,10,0,0
898,2014,1,adrian-sutil,0,11,0,0
898,2014,1,esteban-gutierrez,0,12,0,0
898,2014,1,max-chilton,0,13,0,0
899,2014,2,nico-rosberg,43.0,1,0,0
899,2014,2,lewis-hamilton,25.0,2,0,0
899,2014,2,fernando-alonso,24.0,3,0,0
899,2014,2,jenson-button,23.0,4,0,0
899,2014,2,kevin-magnussen,20.0,5,0,0
899,2014,2,nico-hulkenberg,18.0,6,0,0
899,2014,2,sebastian-vettel,15.0,7,0,0
899,2014,2,valtteri-bottas,14.0,8,0,0
899,2014,2,kimi-raikkonen,6.0,9,0,0
899,2014,2,felipe-massa,6.0,10,0,0
899,2014,2,jean-eric-vergne,4.0,11,0,0
899,2014,2,daniil-kvyat,3.0,12,0,0
899,2014,2,sergio-perez,1.0,13,0,0
899,2014,2,adrian-sutil,0,14,0,0
899,2014,2,romain-grosjean,0,14,0,0
899,2014,2,esteban-gutierrez,0,16,0,0
899,2014,2,max-chilton,0,17,0,0
899,2014,2,kamui-kobayashi,0,18,0,0
899,2014,2,marcus-ericsson,0,19,0,0
900,2014,3,nico-rosberg,61.0,1,0,0
900,2014,3,lewis-hamilton,50.0,2,0,0
900,2014,3,nico-hulkenberg,28.0,3,0,0
900,2014,3,fernando-alonso,26.0,4,0,0
900,2014,3,jenson-button,23.0,5,0,0
900,2014,3,sebastian-vettel,23.0,6,0,0
900,2014,3,kevin-magnussen,20.0,7,0,0
900,2014,3,valtteri-bottas,18.0,8,0,0
900,2014,3,sergio-perez,16.0,9,0,0
900,2014,3,daniel-ricciardo,12.0,10,0,0
900,2014,3,felipe-massa,12.0,11,0,0
900,2014,3,kimi-raikkonen,7.0,12,0,0
900,2014,3,jean-eric-vergne,4.0,13,0,0
900,2014,3,daniil-kvyat,3.0,14,0,0
900,2014,3,romain-grosjean,0,15,0,0
900,2014,3,adrian-sutil,0,16,0,0
900,2014,3,esteban-gutierrez,0,17,0,0
900,2014,3,max-chilton,0,18,0,0
900,2014,3,kamui-kobayashi,0,19,0,0
900,2014,3,marcus-ericsson,0,20,0,0
900,2014,3,pastor-maldonado,0,20,0,0
900,2014,3,jules-bianchi,0,22,0,0
901,2014,4,nico-rosberg,79.0,1,0,0
901,2014,4,lewis-hamilton,75.0,2,0,0
901,2014,4,fernando-alonso,41.0,3,0,0
901,2014,4,nico-hulkenberg,36.0,4,0,0
901,2014,4,sebastian-vettel,33.0,5,0,0
901,2014,4,daniel-ricciardo,24.0,6,0,0
901,2014,4,valtteri-bottas,24.0,7,0,0
901,2014,4,jenson-button,23.0,8,0,0
901,2014,4,kevin-magnussen,20.0,9,0,0
901,2014,4,sergio-perez,18.0,10,0,0
901,2014,4,felipe-massa,12.0,11,0,0
901,2014,4,kimi-raikkonen,11.0,12,0,0
901,2014,4,jean-eric-vergne,4.0,13,0,0
901,2014,4,daniil-kvyat,4.0,14,0,0
901,2014,4,romain-grosjean,0,15,0,0
901,2014,4,adrian-sutil,0,16,0,0
901,2014,4,esteban-gutierrez,0,17,0,0
901,2014,4,max-chilton,0,18,0,0
901,2014,4,kamui-kobayashi,0,19,0,0
901,2014,4,pastor-maldonado,0,20,0,0
901,2014,4,marcus-ericsson,0,21,0,0
901,2014,4,jules-bianchi,0,22,0,0
902,2014,5,lewis-hamilton,100.0,1,0,0
902,2014,5,nico-rosberg,97.0,2,0,0
902,2014,5,fernando-alonso,49.0,3,0,0
902,2014,5,sebastian-vettel,45.0,4,0,0
902,2014,5,daniel-ricciardo,39.0,5,0,0
902,2014,5,nico-hulkenberg,37.0,6,0,0
902,2014,5,valtteri-bottas,34.0,7,0,0
902,2014,5,jenson-button,23.0,8,0,0
902,2014,5,kevin-magnussen,20.0,9,0,0
902,2014,5,sergio-perez,20.0,10,0,0
902,2014,5,kimi-raikkonen,17.0,11,0,0
902,2014,5,felipe-massa,12.0,12,0,0
902,2014,5,romain-grosjean,4.0,13,0,0
902,2014,5,jean-eric-vergne,4.0,14,0,0
902,2014,5,daniil-kvyat,4.0,15,0,0
902,2014,5,adrian-sutil,0,16,0,0
902,2014,5,esteban-gutierrez,0,17,0,0
902,2014,5,max-chilton,0,18,0,0
902,2014,5,kamui-kobayashi,0,19,0,0
902,2014,5,pastor-maldonado,0,20,0,0
902,2014,5,marcus-ericsson,0,21,0,0
902,2014,5,jules-bianchi,0,22,0,0
903,2014,6,nico-rosberg,122.0,1,0,0
903,2014,6,lewis-hamilton,118.0,2,0,0
903,2014,6,fernando-alonso,61.0,3,0,0
903,2014,6,daniel-ricciardo,54.0,4,0,0
903,2014,6,nico-hulkenberg,47.0,5,0,0
903,2014,6,sebastian-vettel,45.0,6,0,0
903,2014,6,valtteri-bottas,34.0,7,0,0
903,2014,6,jenson-button,31.0,8,0,0
903,2014,6,kevin-magnussen,21.0,9,0,0
903,2014,6,sergio-perez,20.0,10,0,0
903,2014,6,felipe-massa,18.0,11,0,0
903,2014,6,kimi-raikkonen,17.0,12,0,0
903,2014,6,romain-grosjean,8.0,13,0,0
903,2014,6,jean-eric-vergne,4.0,14,0,0
903,2014,6,daniil-kvyat,4.0,15,0,0
903,2014,6,jules-bianchi,2.0,16,0,0
903,2014,6,marcus-ericsson,0,17,0,0
903,2014,6,adrian-sutil,0,18,0,0
903,2014,6,esteban-gutierrez,0,19,0,0
903,2014,6,max-chilton,0,20,0,0
903,2014,6,kamui-kobayashi,0,21,0,0
903,2014,6,pastor-maldonado,0,22,0,0
904,2014,7,nico-rosberg,140.0,1,0,0
904,2014,7,lewis-hamilton,118.0,2,0,0
904,2014,7,daniel-ricciardo,79.0,3,0,0
904,2014,7,fernando-alonso,69.0,4,0,0
904,2014,7,sebastian-vettel,60.0,5,0,0
904,2014,7,nico-hulkenberg,57.0,6,0,0
904,2014,7,jenson-button,43.0,7,0,0
904,2014,7,valtteri-bottas,40.0,8,0,0
904,2014,7,kevin-magnussen,23.0,9,0,0
904,2014,7,sergio-perez,20.0,10,0,0
904,2014,7,felipe-massa,18.0,11,0,0
904,2014,7,kimi-raikkonen,18.0,12,0,0
904,2014,7,romain-grosjean,8.0,13,0,0
904,2014,7,jean-eric-vergne,8.0,14,0,0
904,2014,7,daniil-kvyat,4.0,15,0,0
904,2014,7,jules-bianchi,2.0,16,0,0
904,2014,7,adrian-sutil,0,17,0,0
904,2014,7,marcus-ericsson,0,18,0,0
904,2014,7,esteban-gutierrez,0,19,0,0
904,2014,7,max-chilton,0,20,0,0
904,2014,7,kamui-kobayashi,0,21,0,0
904,2014,7,pastor-maldonado,0,22,0,0
905,2014,8,nico-rosberg,165.0,1,0,0
905,2014,8,lewis-hamilton,136.0,2,0,0
905,2014,8,daniel-ricciardo,83.0,3,0,0
905,2014,8,fernando-alonso,79.0,4,0,0
905,2014,8,sebastian-vettel,60.0,5,0,0
905,2014,8,nico-hulkenberg,59.0,6,0,0
905,2014,8,valtteri-bottas,55.0,7,0,0
