CircuitId,PointOrder,X,Y,Longitude,Latitude
austin,0,-53.896,-32.657,-97.639651,30.13176
austin,1,-37.643,-45.612,-97.637935,30.130577
austin,2,-33.154,-48.755,-97.637461,30.13029
austin,3,-29.678,-50.825,-97.637094,30.130101
austin,4,-28.39,-51.438,-97.636958,30.130045
austin,5,-27.888,-51.592,-97.636905,30.130031
austin,6,-27.329,-51.493,-97.636846,30.13004
austin,7,-26.827,-51.187,-97.636793,30.130068
austin,8,-26.486,-50.672,-97.636757,30.130115
austin,9,-26.316,-50.201,-97.636739,30.130158
austin,10,-26.373,-49.631,-97.636745,30.13021
austin,11,-29.905,-39.469,-97.637118,30.131138
austin,12,-31.478,-34.771,-97.637284,30.131567
austin,13,-31.752,-33.325,-97.637313,30.131699
austin,14,-31.809,-32.087,-97.637319,30.131812
austin,15,-31.752,-30.642,-97.637313,30.131944
austin,16,-31.478,-29.295,-97.637284,30.132067
austin,17,-30.976,-27.597,-97.637231,30.132222
austin,18,-30.189,-26.152,-97.637148,30.132354
austin,19,-29.346,-24.86,-97.637059,30.132472
austin,20,-28.172,-23.513,-97.636935,30.132595
austin,21,-26.884,-22.582,-97.636799,30.13268
austin,22,-25.141,-21.497,-97.636615,30.132779
austin,23,-15.67,-15.617,-97.635615,30.133316
austin,24,-11.796,-13.185,-97.635206,30.133538
austin,25,-10.963,-12.364,-97.635118,30.133613
austin,26,-10.234,-11.378,-97.635041,30.133703
austin,27,-9.618,-10.557,-97.634976,30.133778
austin,28,-9.107,-9.418,-97.634922,30.133882
austin,29,-8.718,-8.443,-97.634881,30.133971
austin,30,-7.705,-5.607,-97.634774,30.13423
austin,31,-7.032,-4.676,-97.634703,30.134315
austin,32,-6.189,-3.592,-97.634614,30.134414
austin,33,-5.072,-2.869,-97.634496,30.13448
austin,34,-4.172,-2.398,-97.634401,30.134523
austin,35,-1.937,-1.522,-97.634165,30.134603
austin,36,-0.194,-0.646,-97.633981,30.134683
austin,37,0.81,0.131,-97.633875,30.134754
austin,38,1.435,0.898,-97.633809,30.134824
austin,39,1.994,1.938,-97.63375,30.134919
austin,40,2.212,3.176,-97.633727,30.135032
austin,41,2.552,5.289,-97.633691,30.135225
austin,42,2.723,6.637,-97.633673,30.135348
austin,43,3.054,8.126,-97.633638,30.135484
austin,44,3.509,9.21,-97.63359,30.135583
austin,45,4.068,10.25,-97.633531,30.135678
austin,46,4.797,11.28,-97.633454,30.135772
austin,47,5.583,12.211,-97.633371,30.135857
austin,48,6.758,13.24,-97.633247,30.135951
austin,49,8.103,14.226,-97.633105,30.136041
austin,50,9.561,15.047,-97.632951,30.136116
austin,51,11.124,15.715,-97.632786,30.136177
